Unnamed: 0,Review,Liked,cleaned_review,predicted_sentiment,correct
332,"We had fantastic service, and were pleased by the atmosphere.",1,fantastic service pleased atmosphere,1,True
333,Everything was gross.,0,everything gross,0,True
334,I love this place.,1,love place,1,True
335,Great service and food.,1,great service food,1,True
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom location dirty seat cover replenished plain yucky,0,True
337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,burger got gold standard burger kind disappointed,0,True
338,"OMG, the food was delicioso!",1,omg food delicioso,1,True
339,There is nothing authentic about this place.,0,nothing authentic place,0,True
340,the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever,0,True
341,"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon best great,1,True
342,The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetable fresh sauce feel like authentic thai,1,True
343,It's worth driving up from Tucson!,1,worth driving tucson,1,True
344,The selection was probably the worst I've seen in Vegas.....there was none.,0,selection probably worst seen vega none,0,True
345,Pretty good beer selection too.,1,pretty good beer selection,1,True
346,"This place is like Chipotle, but BETTER.",1,place like chipotle better,0,False
347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy warm atmosphere fun fresh appetizer succulent steak baseball steak,1,True
348,5 stars for the brick oven bread app!,1,star brick oven bread app,1,True
349,"I have eaten here multiple times, and each time the food was delicious.",1,eaten multiple time time food delicious,1,True
350,We sat another ten minutes and finally gave up and left.,0,sat another ten minute finally gave left,0,True
351,He was terrible!,0,terrible,0,True
352,Everyone is treated equally special.,1,everyone treated equally special,1,True
353,It shouldn't take 30 min for pancakes and eggs.,0,take min pancake egg,0,True
354,It was delicious!!!,1,delicious,1,True
355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff genuinely pleasant enthusiastic real treat,1,True
356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey steak place shall sharply avoid next trip vega,0,True
357,As always the evening was wonderful and the food delicious!,1,always evening wonderful food delicious,1,True
358,Best fish I've ever had in my life!,1,best fish ever life,1,True
359,(The bathroom is just next door and very nice.),1,bathroom next door nice,1,True
360,The buffet is small and all the food they offered was BLAND.,0,buffet small food offered bland,0,True
361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstanding little restaurant best food ever tasted,0,False
362,Pretty cool I would say.,1,pretty cool would say,1,True
363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely turn doubt back unless someone else buying,0,True
364,Server did a great job handling our large rowdy table.,1,server great job handling large rowdy table,1,True
365,"I find wasting food to be despicable, but this just wasn't food.",0,find wasting food despicable food,0,True
366,My wife had the Lobster Bisque soup which was lukewarm.,0,wife lobster bisque soup lukewarm,0,True
367,Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi craving vega,1,True
368,"The staff are great, the ambiance is great.",1,staff great ambiance great,1,True
369,He deserves 5 stars.,1,deserves star,1,True
370,I left with a stomach ache and felt sick the rest of the day.,0,left stomach ache felt sick rest day,0,True
371,They dropped more than the ball.,0,dropped ball,0,True
372,"The dining space is tiny, but elegantly decorated and comfortable.",1,dining space tiny elegantly decorated comfortable,1,True
373,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,customize order way like usual eggplant green bean stir fry love,1,True
374,And the beans and rice were mediocre at best.,0,bean rice mediocre best,0,True
375,Best tacos in town by far!!,1,best taco town far,1,True
376,I took back my money and got outta there.,0,took back money got outta,0,True
377,"In an interesting part of town, this place is amazing.",1,interesting part town place amazing,1,True
378,RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management,0,True
379,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff friendly wait time served horrible one even say hi first minute,0,True
380,I won't be back.,0,back,0,True
381,They have great dinners.,1,great dinner,1,True
382,The service was outshining & I definitely recommend the Halibut.,1,service outshining definitely recommend halibut,1,True
383,The food was terrible.,0,food terrible,0,True
384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told many people happened,0,True
385,I don't recommend unless your car breaks down in front of it and you are starving.,0,recommend unless car break front starving,0,True
386,I will come back here every time I'm in Vegas.,1,come back every time vega,1,True
387,This place deserves one star and 90% has to do with the food.,0,place deserves one star food,1,False
388,This is a disgrace.,0,disgrace,0,True
389,Def coming back to bowl next time,1,def coming back bowl next time,1,True
390,"If you want healthy authentic or ethic food, try this place.",1,want healthy authentic ethic food try place,1,True
391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1,continue come lady night andddd date night highly recommend place anyone area,1,True
392,"I have been here several times in the past, and the experience has always been great.",1,several time past experience always great,1,True
393,We walked away stuffed and happy about our first Vegas buffet experience.,1,walked away stuffed happy first vega buffet experience,1,True
394,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,1,True
395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,1,True
396,I'm probably one of the few people to ever go to Ians and not like it.,0,probably one people ever go ians like,0,True
397,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kid pizza always hit lot great side dish option kiddos,1,True
398,Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see,1,True
399,Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,1,True
400,This one is simply a disappointment.,0,one simply disappointment,0,True
401,"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall disappointed quality food bouchon,0,True
402,I don't have to be an accountant to know I'm getting screwed!,0,accountant know getting screwed,0,True
403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat reminds little mom pop shop san francisco bay area,1,True
404,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first taste buldogis gourmet hot dog tell ever thought possible,1,True
405,Left very frustrated.,0,left frustrated,0,True
406,I'll definitely be in soon again.,1,definitely soon,1,True
407,Food was really good and I got full petty fast.,1,food really good got full petty fast,1,True
408,Service was fantastic.,1,service fantastic,1,True
409,TOTAL WASTE OF TIME.,0,total waste time,0,True
410,I don't know what kind it is but they have the best iced tea.,1,know kind best iced tea,1,True
411,"Come hungry, leave happy and stuffed!",1,come hungry leave happy stuffed,1,True
412,"For service, I give them no stars.",0,service give star,0,True
413,I can assure you that you won't be disappointed.,1,assure disappointed,1,True
414,I can take a little bad service but the food sucks.,0,take little bad service food suck,0,True
415,Gave up trying to eat any of the crust (teeth still sore).,0,gave trying eat crust teeth still sore,0,True
416,But now I was completely grossed out.,0,completely grossed,0,True
417,I really enjoyed eating here.,1,really enjoyed eating,1,True
418,First time going but I think I will quickly become a regular.,1,first time going think quickly become regular,1,True
419,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,server nice even though looked little overwhelmed need stayed professional friendly end,1,True
420,From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,dinner companion told everything fresh nice texture taste,1,True
421,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next table large smeared stepped tracked everywhere pile green bird poop,0,True
422,"Furthermore, you can't even find hours of operation on the website!",0,furthermore even find hour operation website,0,True
423,We've tried to like this place but after 10+ times I think we're done with them.,0,tried like place time think done,0,True
424,What a mistake that was!,0,mistake,0,True
425,No complaints!,1,complaint,0,False
426,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,seriously good pizza expert connisseur topic,1,True
427,Waiter was a jerk.,0,waiter jerk,0,True
428,"Strike 2, who wants to be rushed.",0,strike want rushed,0,True
429,These are the nicest restaurant owners I've ever come across.,1,nicest restaurant owner ever come across,1,True
430,I never come again.,0,never come,0,True
431,We loved the biscuits!!!,1,loved biscuit,1,True
432,Service is quick and friendly.,1,service quick friendly,1,True
433,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered appetizer took minute pizza another minute,0,True
434,So absolutley fantastic.,1,absolutley fantastic,1,True
435,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward lb piece cow th gristle fat,0,True
436,definitely will come back here again.,1,definitely come back,0,False
437,I like Steiners because it's dark and it feels like a bar.,1,like steiner dark feel like bar,1,True
438,Wow very spicy but delicious.,1,wow spicy delicious,1,True
439,"If you're not familiar, check it out.",1,familiar check,1,True
440,I'll take my business dinner dollars elsewhere.,0,take business dinner dollar elsewhere,0,True
441,I'd love to go back.,1,love go back,1,True
442,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway f restaurant wonderful breakfast lunch,1,True
443,Nothing special.,0,nothing special,0,True
444,Each day of the week they have a different deal and it's all so delicious!,1,day week different deal delicious,1,True
445,"Not to mention the combination of pears, almonds and bacon is a big winner!",1,mention combination pear almond bacon big winner,0,False
446,Will not be back.,0,back,0,True
447,Sauce was tasteless.,0,sauce tasteless,0,True
448,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delicious spicy enough sure ask spicier prefer way,1,True
449,My ribeye steak was cooked perfectly and had great mesquite flavor.,1,ribeye steak cooked perfectly great mesquite flavor,1,True
450,I don't think we'll be going back anytime soon.,0,think going back anytime soon,0,True
451,Food was so gooodd.,1,food gooodd,0,False
452,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,far sushi connoisseur definitely tell difference good food bad food certainly bad food,0,True
453,I was so insulted.,0,insulted,0,True
454,The last 3 times I had lunch here has been bad.,0,last time lunch bad,0,True
455,The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wing contained driest chicken meat ever eaten,0,True
456,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,1,True
457,Nargile - I think you are great.,1,nargile think great,1,True
458,Best tater tots in the southwest.,1,best tater tot southwest,1,True
459,We loved the place.,1,loved place,1,True
460,Definitely not worth the $3 I paid.,0,definitely worth paid,0,True
461,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,1,True
462,Im in AZ all the time and now have my new spot.,1,im az time new spot,1,True
463,The manager was the worst.,0,manager worst,0,True
464,The inside is really quite nice and very clean.,1,inside really quite nice clean,1,True
465,The food was outstanding and the prices were very reasonable.,1,food outstanding price reasonable,1,True
466,I don't think I'll be running back to Carly's anytime soon for food.,0,think running back carly anytime soon food,0,True
467,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,due fact took minute acknowledged another minute get food kept forgetting thing,0,True
468,"Love the margaritas, too!",1,love margarita,1,True
469,This was my first and only Vegas buffet and it did not disappoint.,1,first vega buffet disappoint,1,True
470,"Very good, though!",1,good though,1,True
471,The one down note is the ventilation could use some upgrading.,0,one note ventilation could use upgrading,0,True
472,Great pork sandwich.,1,great pork sandwich,1,True
473,Don't waste your time here.,0,waste time,0,True
474,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather go camelback flower shop cartel coffee,0,True
475,"Third, the cheese on my friend's burger was cold.",0,third cheese friend burger cold,0,True
476,We enjoy their pizza and brunch.,1,enjoy pizza brunch,1,True
477,The steaks are all well trimmed and also perfectly cooked.,1,steak well trimmed also perfectly cooked,1,True
478,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,group claimed would handled u beautifully,1,True
479,I LOVED it!,1,loved,1,True
480,We asked for the bill to leave without eating and they didn't bring that either.,0,asked bill leave without eating bring either,0,True
481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,place jewel la vega exactly hoping find nearly ten year living,1,True
482,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood limited boiled shrimp crab leg crab leg definitely taste fresh,0,True
483,The selection of food was not the best.,0,selection food best,1,False
484,Delicious and I will absolutely be back!,1,delicious absolutely back,1,True
485,"This isn't a small family restaurant, this is a fine dining establishment.",1,small family restaurant fine dining establishment,1,True
486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,1,True
487,I dont think I will be back for a very long time.,0,dont think back long time,0,True
488,"It was attached to a gas station, and that is rarely a good sign.",0,attached gas station rarely good sign,0,True
489,How awesome is that.,1,awesome,1,True
490,I will be back many times soon.,1,back many time soon,1,True
491,The menu had so much good stuff on it i could not decide!,1,menu much good stuff could decide,1,True
492,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse humiliated worker right front bunch horrible name calling,0,True
493,CONCLUSION: Very filling meals.,1,conclusion filling meal,0,False
494,Their daily specials are always a hit with my group.,1,daily special always hit group,1,True
495,And then tragedy struck.,0,tragedy struck,0,True
496,The pancake was also really good and pretty large at that.,1,pancake also really good pretty large,1,True
497,"This was my first crawfish experience, and it was delicious!",1,first crawfish experience delicious,1,True
498,Their monster chicken fried steak and eggs is my all time favorite.,1,monster chicken fried steak egg time favorite,1,True
499,Waitress was sweet and funny.,1,waitress sweet funny,1,True
500,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also taste mom multi grain pumpkin pancake pecan butter amazing fluffy delicious,1,True
501,"I'd rather eat airline food, seriously.",0,rather eat airline food seriously,0,True
502,Cant say enough good things about this place.,1,cant say enough good thing place,1,True
503,The ambiance was incredible.,1,ambiance incredible,1,True
504,The waitress and manager are so friendly.,1,waitress manager friendly,1,True
505,I would not recommend this place.,0,would recommend place,0,True
506,Overall I wasn't very impressed with Noca.,0,overall impressed noca,0,True
507,My gyro was basically lettuce only.,0,gyro basically lettuce,0,True
508,Terrible service!,0,terrible service,0,True
509,Thoroughly disappointed!,0,thoroughly disappointed,0,True
510,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,much pasta love homemade hand made pasta thin pizza,1,True
511,"Give it a try, you will be happy you did.",1,give try happy,1,True
512,By far the BEST cheesecurds we have ever had!,1,far best cheesecurds ever,1,True
513,Reasonably priced also!,1,reasonably priced also,1,True
514,Everything was perfect the night we were in.,1,everything perfect night,1,True
515,The food is very good for your typical bar food.,1,food good typical bar food,1,True
516,it was a drive to get there.,0,drive get,0,True
517,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,first glance lovely bakery cafe nice ambiance clean friendly staff,1,True
518,"Anyway, I do not think i will go back there.",0,anyway think go back,0,True
519,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point finger item menu order disappointed,1,True
520,"Oh this is such a thing of beauty, this restaurant.",1,oh thing beauty restaurant,1,True
521,If you haven't gone here GO NOW!,1,gone go,0,False
522,"A greasy, unhealthy meal.",0,greasy unhealthy meal,0,True
523,first time there and might just be the last.,0,first time might last,0,True
524,Those burgers were amazing.,1,burger amazing,1,True
525,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarly delivery man say word apology food minute late,0,True
526,And it was way to expensive.,0,way expensive,0,True
527,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,sure order dessert even need pack go tiramisu cannoli die,1,True
528,This was my first time and I can't wait until the next.,1,first time wait next,1,True
529,The bartender was also nice.,1,bartender also nice,1,True
530,Everything was good and tasty!,1,everything good tasty,1,True
531,This place is two thumbs up....way up.,1,place two thumb way,1,True
532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,best place vega breakfast check sat sun,1,True
533,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,love authentic mexican food want whole bunch interesting yet delicious meat choose need try place,1,True
534,Terrible management.,0,terrible management,0,True
535,An excellent new restaurant by an experienced Frenchman.,1,excellent new restaurant experienced frenchman,1,True
536,If there were zero stars I would give it zero stars.,0,zero star would give zero star,0,True
537,"Great steak, great sides, great wine, amazing desserts.",1,great steak great side great wine amazing dessert,1,True
538,Worst martini ever!,0,worst martini ever,0,True
539,The steak and the shrimp are in my opinion the best entrees at GC.,1,steak shrimp opinion best entree gc,1,True
540,I had the opportunity today to sample your amazing pizzas!,1,opportunity today sample amazing pizza,1,True
541,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,waited thirty minute seated although vacant table folk waiting,0,True
542,The yellowtail carpaccio was melt in your mouth fresh.,1,yellowtail carpaccio melt mouth fresh,1,True
543,I won't try going back there even if it's empty.,0,try going back even empty,0,True
544,"No, I'm going to eat the potato that I found some strangers hair in it.",0,going eat potato found stranger hair,0,True
545,Just spicy enough.. Perfect actually.,1,spicy enough perfect actually,1,True
546,Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time dining happy decided go back,1,True
547,"not even a ""hello, we will be right with you.""",0,even hello right,0,True
548,The desserts were a bit strange.,0,dessert bit strange,1,False
549,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,boyfriend came first time recent trip vega could pleased quality food service,1,True
550,"I really do recommend this place, you can go wrong with this donut place!",1,really recommend place go wrong donut place,1,True
551,Nice ambiance.,1,nice ambiance,1,True
552,I would recommend saving room for this!,1,would recommend saving room,1,True
553,I guess maybe we went on an off night but it was disgraceful.,0,guess maybe went night disgraceful,0,True
554,"However, my recent experience at this particular location was not so good.",0,however recent experience particular location good,1,False
555,"I know this is not like the other restaurants at all, something is very off here!",0,know like restaurant something,0,True
556,AVOID THIS ESTABLISHMENT!,0,avoid establishment,0,True
557,I think this restaurant suffers from not trying hard enough.,0,think restaurant suffers trying hard enough,0,True
558,All of the tapas dishes were delicious!,1,tapa dish delicious,1,True
559,I *heart* this place.,1,heart place,0,False
560,My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,salad bland vinegrette baby green heart palm,0,True
561,After two I felt disgusting.,0,two felt disgusting,0,True
562,A good time!,1,good time,1,True
563,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,believe place great stop huge belly hankering sushi,1,True
564,Generous portions and great taste.,1,generous portion great taste,1,True
565,I will never go back to this place and will never ever recommended this place to anyone!,0,never go back place never ever recommended place anyone,0,True
566,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,server went back forth several time even much helped,0,True
567,Food was delicious!,1,food delicious,1,True
568,AN HOUR... seriously?,0,hour seriously,0,True
569,I consider this theft.,0,consider theft,0,True
570,Eew... This location needs a complete overhaul.,0,eew location need complete overhaul,0,True
571,We recently witnessed her poor quality of management towards other guests as well.,0,recently witnessed poor quality management towards guest well,0,True
572,Waited and waited and waited.,0,waited waited waited,0,True
573,"He also came back to check on us regularly, excellent service.",1,also came back check u regularly excellent service,1,True
574,Our server was super nice and checked on us many times.,1,server super nice checked u many time,1,True
575,"The pizza tasted old, super chewy in not a good way.",0,pizza tasted old super chewy good way,0,True
576,I swung in to give them a try but was deeply disappointed.,0,swung give try deeply disappointed,0,True
577,Service was good and the company was better!,1,service good company better,1,True
578,The staff are also very friendly and efficient.,1,staff also friendly efficient,1,True
579,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,service fan quick served nice folk,1,True
580,Boy was that sucker dry!!.,0,boy sucker dry,0,True
581,Over rated.,0,rated,0,True
582,"If you look for authentic Thai food, go else where.",0,look authentic thai food go else,0,True
583,Their steaks are 100% recommended!,1,steak recommended,1,True
584,After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,pulled car waited another minute acknowledged,0,True
585,Great food and great service in a clean and friendly setting.,1,great food great service clean friendly setting,1,True
586,"All in all, I can assure you I'll be back.",1,assure back,1,True
587,I hate those things as much as cheap quality black olives.,0,hate thing much cheap quality black olive,0,True
588,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,breakfast perpared great beautiful presentation giant slice toast lightly dusted powdered sugar,1,True
589,The kids play area is NASTY!,0,kid play area nasty,0,True
590,Great place fo take out or eat in.,1,great place fo take eat,1,True
591,The waitress was friendly and happy to accomodate for vegan/veggie options.,1,waitress friendly happy accomodate vegan veggie option,1,True
592,OMG I felt like I had never eaten Thai food until this dish.,1,omg felt like never eaten thai food dish,1,True
593,"It was extremely ""crumby"" and pretty tasteless.",0,extremely crumby pretty tasteless,0,True
594,It was a pale color instead of nice and char and has NO flavor.,0,pale color instead nice char flavor,0,True
595,The croutons also taste homemade which is an extra plus.,1,crouton also taste homemade extra plus,1,True
596,I got home to see the driest damn wings ever!,0,got home see driest damn wing ever,0,True
597,It'll be a regular stop on my trips to Phoenix!,1,regular stop trip phoenix,1,True
598,I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1,really enjoyed crema caf expanded even told friend best breakfast,1,True
599,Not good for the money.,0,good money,1,False
600,I miss it and wish they had one in Philadelphia!,1,miss wish one philadelphia,1,True
601,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,got sitting fairly fast ended waiting minute place order another minute food arrived,0,True
602,They also have the best cheese crisp in town.,1,also best cheese crisp town,1,True
603,"Good value, great food, great service.",1,good value great food great service,1,True
604,Couldn't ask for a more satisfying meal.,1,ask satisfying meal,0,False
605,The food is good.,1,food good,1,True
606,It was awesome.,1,awesome,1,True
607,I just wanted to leave.,0,wanted leave,0,True
608,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,made drive way north scottsdale one bit disappointed,1,True
609,I will not be eating there again.,0,eating,0,True
610,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,owner really really need quit soooooo cheap let wrap freaking sandwich two paper one,0,True
611,I checked out this place a couple years ago and was not impressed.,0,checked place couple year ago impressed,0,True
612,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,chicken got definitely reheated ok wedge cold soggy,0,True
613,"Sorry, I will not be getting food from here anytime soon :(",0,sorry getting food anytime soon,0,True
614,An absolute must visit!,1,absolute must visit,1,True
615,The cow tongue and cheek tacos are amazing.,1,cow tongue cheek taco amazing,1,True
616,My friend did not like his Bloody Mary.,0,friend like bloody mary,0,True
617,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite hard rate business actually rare give star,0,True
618,They really want to make your experience a good one.,1,really want make experience good one,1,True
619,I will not return.,0,return,0,True
620,I had the chicken Pho and it tasted very bland.,0,chicken pho tasted bland,0,True
621,Very disappointing!!!,0,disappointing,0,True
622,The grilled chicken was so tender and yellow from the saffron seasoning.,1,grilled chicken tender yellow saffron seasoning,1,True
623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive thru mean want wait around half hour food somehow end going make u wait wait,0,True
624,Pretty awesome place.,1,pretty awesome place,1,True
625,Ambience is perfect.,1,ambience perfect,1,True
626,Best of luck to the rude and non-customer service focused new management.,0,best luck rude non customer service focused new management,0,True
627,Any grandmother can make a roasted chicken better than this one.,0,grandmother make roasted chicken better one,0,True
628,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,asked multiple time wine list time ignored went hostess got one,0,True
629,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,staff always super friendly helpful especially cool bring two small boy baby,1,True
630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four star food guy blue shirt great vibe still letting u eat,1,True
631,The roast beef sandwich tasted really good!,1,roast beef sandwich tasted really good,1,True
632,"Same evening, him and I are both drastically sick.",0,evening drastically sick,0,True
633,High-quality chicken on the chicken Caesar salad.,1,high quality chicken chicken caesar salad,1,True
634,Ordered burger rare came in we'll done.,0,ordered burger rare came done,0,True
635,We were promptly greeted and seated.,1,promptly greeted seated,1,True
636,Tried to go here for lunch and it was a madhouse.,0,tried go lunch madhouse,1,False
637,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,proven dead wrong sushi bar quality great service fast food impeccable,1,True
638,"After waiting an hour and being seated, I was not in the greatest of moods.",0,waiting hour seated greatest mood,0,True
639,This is a good joint.,1,good joint,1,True
640,The Macarons here are insanely good.,1,macarons insanely good,1,True
641,I'm not eating here!,0,eating,0,True
642,"Our waiter was very attentive, friendly, and informative.",1,waiter attentive friendly informative,1,True
643,Maybe if they weren't cold they would have been somewhat edible.,0,maybe cold would somewhat edible,0,True
644,This place has a lot of promise but fails to deliver.,0,place lot promise fails deliver,1,False
645,Very bad Experience!,0,bad experience,0,True
646,What a mistake.,0,mistake,0,True
647,Food was average at best.,0,food average best,0,True
648,Great food.,1,great food,1,True
649,We won't be going back anytime soon!,0,going back anytime soon,0,True
650,Very Very Disappointed ordered the $35 Big Bay Plater.,0,disappointed ordered big bay plater,0,True
651,Great place to relax and have an awesome burger and beer.,1,great place relax awesome burger beer,1,True
652,It is PERFECT for a sit-down family meal or get together with a few friends.,1,perfect sit family meal get together friend,1,True
653,"Not much flavor to them, and very poorly constructed.",0,much flavor poorly constructed,0,True
654,The patio seating was very comfortable.,1,patio seating comfortable,1,True
655,The fried rice was dry as well.,0,fried rice dry well,0,True
656,Hands down my favorite Italian restaurant!,1,hand favorite italian restaurant,1,True
657,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,scream legit book somethat also pretty rare vega,1,True
658,It was just not a fun experience.,1,fun experience,1,True
659,The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,atmosphere great lovely duo violinist playing song requested,1,True
660,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,personally love hummus pita baklava falafel baba ganoush amazing eggplant,1,True
661,"Very convenient, since we were staying at the MGM!",1,convenient since staying mgm,1,True
662,The owners are super friendly and the staff is courteous.,1,owner super friendly staff courteous,1,True
663,Both great!,1,great,1,True
664,Eclectic selection.,1,eclectic selection,1,True
665,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,sweet potato tot good onion ring perfection close,1,True
666,The staff was very attentive.,1,staff attentive,1,True
667,And the chef was generous with his time (even came around twice so we can take pictures with him).,1,chef generous time even came around twice take picture,1,True
668,"The owner used to work at Nobu, so this place is really similar for half the price.",1,owner used work nobu place really similar half price,0,False
669,Google mediocre and I imagine Smashburger will pop up.,0,google mediocre imagine smashburger pop,0,True
670,dont go here.,0,dont go,0,True
671,I promise they won't disappoint.,1,promise disappoint,1,True
672,As a sushi lover avoid this place by all means.,0,sushi lover avoid place mean,0,True
673,What a great double cheeseburger!,1,great double cheeseburger,1,True
674,Awesome service and food.,1,awesome service food,1,True
675,A fantastic neighborhood gem !!!,1,fantastic neighborhood gem,1,True
676,I can't wait to go back.,1,wait go back,0,False
677,The plantains were the worst I've ever tasted.,0,plantain worst ever tasted,0,True
678,It's a great place and I highly recommend it.,1,great place highly recommend,1,True
679,Service was slow and not attentive.,0,service slow attentive,0,True
680,"I gave it 5 stars then, and I'm giving it 5 stars now.",1,gave star giving star,1,True
681,Your staff spends more time talking to themselves than me.,0,staff spends time talking,0,True
682,Dessert: Panna Cotta was amazing.,1,dessert panna cotta amazing,1,True
683,"Very good food, great atmosphere.1",1,good food great atmosphere,1,True
684,Damn good steak.,1,damn good steak,1,True
685,Total brunch fail.,0,total brunch fail,0,True
686,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,price reasonable flavor spot sauce home made slaw drenched mayo,1,True
687,"The decor is nice, and the piano music soundtrack is pleasant.",1,decor nice piano music soundtrack pleasant,1,True
